symbol,name
BTEK.JK,PT Bumi Teknokultura Unggul Tbk
BTON.JK,PT Betonjaya Manunggal Tbk
BTPN.JK,PT Bank SMBC Indonesia Tbk
BTPS.JK,PT Bank BTPN Syariah Tbk
BUAH.JK,PT Segar Kumala Indonesia Tbk
BUDI.JK,PT Budi Starch & Sweetener Tbk
BUKA.JK,PT Bukalapak.com Tbk.
BUKK.JK,PT Bukaka Teknik Utama Tbk.
BULL.JK,PT Buana Lintas Lautan Tbk
BUMI.JK,PT Bumi Resources Tbk
BUVA.JK,PT Bukit Uluwatu Villa Tbk
BVIC.JK,PT Bank Victoria International Tbk
BWPT.JK,PT Eagle High Plantations Tbk
BYAN.JK,PT Bayan Resources Tbk.
CAKK.JK,PT Cahayaputra Asa Keramik Tbk
CAMP.JK,"PT Campina Ice Cream Industry, Tbk."
CANI.JK,PT Capitol Nusantara Indonesia Tbk
CARE.JK,PT Metro Healthcare Indonesia Tbk
CARS.JK,PT Industri dan Perdagangan Bintraco Dharma Tbk
CASA.JK,PT Capital Financial Indonesia Tbk
CASH.JK,PT Cashlez Worldwide Indonesia Tbk
CASS.JK,PT Cahaya Aero Services Tbk
CBDK.JK,Bangun Kosambi Sukses Tbk.
CBPE.JK,PT Citra Buana Prasida Tbk
CBRE.JK,PT Cakra Buana Resources Energi Tbk
CBUT.JK,PT Citra Borneo Utama Tbk
CCSI.JK,PT Communication Cable Systems Indonesia Tbk
CDIA.JK,Chandra Daya Investasi Tbk.
CEKA.JK,PT Wilmar Cahaya Indonesia Tbk.
CENT.JK,PT Centratama Telekomunikasi Indonesia Tbk
CFIN.JK,PT. Clipan Finance Indonesia Tbk
CGAS.JK,Citra Nusantara Gemilang Tbk.
CHEK.JK,Diastika Biotekindo Tbk.
CHEM.JK,PT Chemstar Indonesia Tbk
CHIP.JK,PT Pelita Teknologi Global Tbk
CINT.JK,PT Chitose Internasional Tbk
CITA.JK,PT Cita Mineral Investindo Tbk
CITY.JK,PT Natura City Developments Tbk
CLAY.JK,PT Citra Putra Realty Tbk
CLEO.JK,PT Sariguna Primatirta Tbk
CLPI.JK,PT Colorpak Indonesia Tbk
CMNP.JK,PT Citra Marga Nusaphala Persada Tbk
CMNT.JK,PT Cemindo Gemilang Tbk
CMPP.JK,PT AirAsia Indonesia Tbk
CMRY.JK,PT Cisarua Mountain Dairy Tbk
CNKO.JK,PT Exploitasi Energi Indonesia Tbk
CNMA.JK,PT Nusantara Sejahtera Raya Tbk
COAL.JK,PT Black Diamond Resources Tbk
COCO.JK,PT Wahana Interfood Nusantara Tbk
COIN.JK,Indokripto Koin Semesta Tbk.
CPIN.JK,PT Charoen Pokphand Indonesia Tbk
CPRO.JK,PT Central Proteina Prima Tbk
CRAB.JK,PT Toba Surimi Industries Tbk
CRSN.JK,PT Carsurin Tbk
CSAP.JK,PT Catur Sentosa Adiprana Tbk
CSIS.JK,PT Cahayasakti Investindo Sukses Tbk
CSMI.JK,PT Cipta Selera Murni Tbk
CSRA.JK,PT Cisadane Sawit Raya Tbk
CTBN.JK,PT Citra Tubindo Tbk
CTRA.JK,PT Ciputra Development Tbk
CTTH.JK,PT Citatah Tbk
CUAN.JK,PT Petrindo Jaya Kreasi Tbk
CYBR.JK,PT ITSEC Asia Tbk
DAAZ.JK,Daaz Bara Lestari Tbk.
DADA.JK,PT Diamond Citra Propertindo Tbk
DART.JK,PT Duta Anggada Realty Tbk.
DATA.JK,Remala Abadi Tbk.
DAYA.JK,PT Duta Intidaya Tbk
DCII.JK,PT DCI Indonesia Tbk
DEFI.JK,PT Danasupra Erapacific Tbk
DEPO.JK,PT Caturkarda Depo Bangunan Tbk
DEWA.JK,PT Darma Henwa Tbk
DEWI.JK,PT Dewi Shri Farmindo Tbk.
DFAM.JK,PT Dafam Property Indonesia Tbk
DGIK.JK,PT Nusa Konstruksi Enjiniring Tbk
DGNS.JK,PT Diagnos Laboratorium Utama Tbk
DGWG.JK,Delta Giri Wacana Tbk.
DIGI.JK,PT Arkadia Digital Media Tbk
DILD.JK,PT Intiland Development Tbk
DIVA.JK,PT Distribusi Voucher Nusantara Tbk
DKFT.JK,PT Central Omega Resources Tbk
DKHH.JK,Cipta Sarana Medika Tbk.
DLTA.JK,PT Delta Djakarta Tbk
DMAS.JK,PT Puradelta Lestari Tbk
DMMX.JK,PT Digital Mediatama Maxima Tbk
DMND.JK,PT Diamond Food Indonesia Tbk
DNAR.JK,PT Bank Oke Indonesia Tbk
DNET.JK,PT Indoritel Makmur Internasional Tbk.
DOID.JK,PT Buma Internasional Grup Tbk
DOOH.JK,PT Era Media Sejahtera Tbk
DOSS.JK,Global Sukses Digital Tbk.
DPUM.JK,PT Dua Putra Utama Makmur Tbk
DRMA.JK,PT Dharma Polimetal Tbk
DSFI.JK,PT Dharma Samudera Fishing Industries Tbk
DSNG.JK,PT Dharma Satya Nusantara Tbk
DSSA.JK,PT Dian Swastatika Sentosa Tbk
DUTI.JK,PT Duta Pertiwi Tbk
DVLA.JK,PT Darya-Varia Laboratoria Tbk
DWGL.JK,PT Dwi Guna Laksana Tbk
DYAN.JK,PT Dyandra Media International Tbk
EAST.JK,PT Eastparc Hotel Tbk
ECII.JK,PT Electronic City Indonesia Tbk
EKAD.JK,PT Ekadharma International Tbk
ELIT.JK,PT Data Sinergitama Jaya Tbk
ELPI.JK,PT Pelayaran Nasional Ekalya Purnamasari Tbk
ELSA.JK,PT Elnusa Tbk
ELTY.JK,PT Bakrieland Development Tbk
EMAS.JK,PT Merdeka Gold Resources Tbk
EMDE.JK,PT Megapolitan Developments Tbk
EMTK.JK,PT Elang Mahkota Teknologi Tbk
ENAK.JK,PT Champ Resto Indonesia Tbk
ENRG.JK,PT Energi Mega Persada Tbk
ENZO.JK,PT Morenzo Abadi Perkasa Tbk
EPAC.JK,PT Megalestari Epack Sentosaraya Tbk
EPMT.JK,PT Enseval Putera Megatrading Tbk.
ERAA.JK,PT Erajaya Swasembada Tbk
ERAL.JK,PT Sinar Eka Selaras Tbk
ERTX.JK,PT Eratex Djaja Tbk
ESIP.JK,PT Sinergi Inti Plastindo Tbk
ESSA.JK,PT ESSA Industries Indonesia Tbk.
ESTA.JK,PT Esta Multi Usaha Tbk
ESTI.JK,PT Ever Shine Tex Tbk
EURO.JK,PT Estee Gold Feet Tbk
EXCL.JK,PT XLSMART Telecom Sejahtera Tbk
FAPA.JK,PT FAP Agri Tbk
FAST.JK,PT Fast Food Indonesia Tbk
FILM.JK,PT.MD Entertainment Tbk
FIRE.JK,PT Alfa Energi Investama Tbk
FISH.JK,PT FKS Multi Agro Tbk
FITT.JK,PT Hotel Fitra International Tbk
FLMC.JK,PT Falmaco Nonwoven Industri Tbk
FMII.JK,PT Fortune Mate Indonesia Tbk
FOLK.JK,PT Multi Garam Utama Tbk
FOOD.JK,PT Sentra Food Indonesia Tbk
FORE.JK,PT Fore Kopi Indonesia Tbk
FORU.JK,PT Fortune Indonesia Tbk
FPNI.JK,PT Lotte Chemical Titan Tbk
FUJI.JK,PT Fuji Finance Indonesia Tbk
FUTR.JK,PT Futura Energi Global Tbk
FWCT.JK,PT Wijaya Cahaya Timber Tbk
GDST.JK,PT Gunawan Dianjaya Steel Tbk
GDYR.JK,PT Goodyear Indonesia Tbk
GEMA.JK,PT Gema Grahasarana Tbk
GEMS.JK,PT Golden Energy Mines Tbk
GGRM.JK,PT Gudang Garam Tbk
GGRP.JK,PT Gunung Raja Paksi Tbk
GHON.JK,PT Gihon Telekomunikasi Indonesia Tbk
GIAA.JK,PT. Garuda Indonesia (Persero) Tbk
GJTL.JK,PT. Gajah Tunggal Tbk
GLVA.JK,PT Galva Technologies Tbk
GMFI.JK,PT Garuda Maintenance Facility Aero Asia Tbk
GMTD.JK,PT Gowa Makassar Tourism Development Tbk
GOLD.JK,PT Merdeka Gold Resources Tbk
GOLF.JK,Intra Golflink Resorts Tbk.
GOOD.JK,PT Garudafood Putra Putri Jaya Tbk
GOTO.JK,PT GoTo Gojek Tokopedia Tbk
GPRA.JK,PT Perdana Gapuraprima Tbk
GPSO.JK,PT Geoprima Solusi Tbk
GRIA.JK,PT Ingria Pratama Capitalindo Tbk
GRPH.JK,Griptha Putra Persada Tbk.
GRPM.JK,PT Graha Prima Mentari Tbk
GSMF.JK,PT Equity Development Investment Tbk
GTBO.JK,PT Garda Tujuh Buana Tbk
GTRA.JK,PT Grahaprima Suksesmandiri Tbk
GTSI.JK,PT GTS Internasional Tbk
GULA.JK,PT Aman Agrindo Tbk
GUNA.JK,Gunanusa Eramandiri Tbk.
GWSA.JK,PT Greenwood Sejahtera Tbk
GZCO.JK,PT Gozco Plantations Tbk
HADE.JK,PT Himalaya Energi Perkasa Tbk
HAIS.JK,PT Hasnur Internasional Shipping Tbk
HAJJ.JK,PT Arsy Buana Travelindo Tbk
HALO.JK,PT Haloni Jane Tbk
HATM.JK,PT Habco Trans Maritima Tbk
HBAT.JK,PT Minahasa Membangun Hebat Tbk
HDFA.JK,PT Radana Bhaskara Finance Tbk
HDIT.JK,PT Hensel Davest Indonesia Tbk
HEAL.JK,PT Medikaloka Hermina Tbk
HELI.JK,PT Jaya Trishindo Tbk
HERO.JK,PT DFI Retail Nusantara Tbk
HEXA.JK,PT Hexindo Adiperkasa Tbk
HGII.JK,Hero Global Investment Tbk.
HILL.JK,PT Hillcon Tbk
HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
HOKI.JK,PT Buyung Poetra Sembada Tbk
HOMI.JK,PT Grand House Mulia Tbk
HOPE.JK,PT Harapan Duta Pertiwi Tbk
HRME.JK,PT Menteng Heritage Realty Tbk
HRTA.JK,PT Hartadinata Abadi Tbk
HRUM.JK,PT Harum Energy Tbk
HUMI.JK,PT Humpuss Maritim Internasional Tbk
HYGN.JK,Ecocare Indo Pasifik Tbk.
IATA.JK,PT MNC Energy Investments Tbk
IBFN.JK,PT Intan Baru Prana Tbk
IBOS.JK,PT Indo Boga Sukses Tbk
ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
ICON.JK,PT Island Concepts Indonesia Tbk
IDEA.JK,PT Idea Indonesia Akademi Tbk
IDPR.JK,PT Indonesia Pondasi Raya Tbk
IFII.JK,PT Indonesia Fibreboard Industry Tbk
IFSH.JK,PT Ifishdeco Tbk
IGAR.JK,PT Champion Pacific Indonesia Tbk
IKAI.JK,PT Intikeramik Alamasri Industri Tbk
IKAN.JK,PT Era Mandiri Cemerlang Tbk
IKBI.JK,PT Sumi Indo Kabel Tbk
IKPM.JK,Ikapharmindo Putramas Tbk.
IMAS.JK,PT Indomobil Sukses Internasional Tbk
IMJS.JK,PT Indomobil Multi Jasa Tbk
IMPC.JK,PT Impack Pratama Industri Tbk
INAI.JK,PT Indal Aluminium Industry Tbk
INCF.JK,PT Indo Komoditi Korpora Tbk
INCI.JK,PT Intanwijaya Internasional Tbk
INCO.JK,PT Vale Indonesia Tbk
INDF.JK,PT Indofood Sukses Makmur Tbk
INDO.JK,PT Royalindo Investa Wijaya Tbk
INDR.JK,PT. Indo-Rama Synthetics Tbk
INDS.JK,PT Indospring Tbk
INDX.JK,PT Tanah Laut Tbk
INDY.JK,PT. Indika Energy Tbk
INET.JK,PT Sinergi Inti Andalan Prima Tbk
INKP.JK,PT Indah Kiat Pulp & Paper Tbk
INOV.JK,PT Inocycle Technology Group Tbk
INPC.JK,PT Bank Artha Graha Internasional Tbk
INPP.JK,PT Indonesian Paradise Property Tbk
INPS.JK,PT Indah Prakasa Sentosa Tbk
INTA.JK,PT Intraco Penta Tbk
INTD.JK,PT Inter Delta Tbk
INTP.JK,PT Indocement Tunggal Prakarsa Tbk
IOTF.JK,PT Sumber Sinergi Makmur Tbk
IPAC.JK,PT Era Graharealty Tbk
IPCC.JK,PT Indonesia Kendaraan Terminal Tbk
IPCM.JK,PT Jasa Armada Indonesia Tbk
IPOL.JK,PT Indopoly Swakarsa Industry Tbk
IPTV.JK,PT MNC Vision Networks Tbk
IRRA.JK,PT Itama Ranoraya Tbk
IRSX.JK,PT Folago Global Nusantara Tbk
ISAP.JK,PT Isra Presisi Indonesia Tbk
ISAT.JK,PT Indosat Ooredoo Hutchison Tbk
ISEA.JK,Indo American Seafoods Tbk.
ISSP.JK,PT Steel Pipe Industry of Indonesia Tbk
ITIC.JK,PT Indonesian Tobacco Tbk
ITMA.JK,PT Sumber Energi Andalan Tbk
ITMG.JK,PT Indo Tambangraya Megah Tbk
JARR.JK,PT Jhonlin Agro Raya Tbk
JAST.JK,PT. Jasnita Telekomindo Tbk
JATI.JK,PT Informasi Teknologi Indonesia Tbk
JAWA.JK,PT Jaya Agra Wattie Tbk
JAYA.JK,PT Armada Berjaya Trans Tbk
JECC.JK,PT Jembo Cable Company Tbk
JGLE.JK,PT Graha Andrasentra Propertindo Tbk
JIHD.JK,PT Jakarta International Hotels & Development Tbk
JKON.JK,PT Jaya Konstruksi Manggala Pratama Tbk
JMAS.JK,PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk
JPFA.JK,PT Japfa Comfeed Indonesia Tbk
JRPT.JK,"PT Jaya Real Property, Tbk."
JSMR.JK,PT Jasa Marga (Persero) Tbk
JSPT.JK,PT Jakarta Setiabudi Internasional Tbk
JTPE.JK,PT Jasuindo Tiga Perkasa Tbk
KAEF.JK,PT Kimia Farma Tbk
KAQI.JK,Jantra Grupo Indonesia Tbk.
KARW.JK,PT Meratus Jasa Prima Tbk
KBAG.JK,PT Karya Bersama Anugerah Tbk
KBLI.JK,PT KMI Wire and Cable Tbk
KBLM.JK,PT Kabelindo Murni Tbk
KBLV.JK,PT First Media Tbk
KDSI.JK,PT Kedawung Setia Industrial Tbk
KDTN.JK,PT Puri Sentul Permai Tbk
KEEN.JK,PT Kencana Energi Lestari Tbk
KEJU.JK,PT Mulia Boga Raya Tbk
KETR.JK,PT Ketrosden Triasmitra
KICI.JK,PT Kedaung Indah Can Tbk
KIJA.JK,PT Kawasan Industri Jababeka Tbk
KING.JK,PT Hoffmen Cleanindo Tbk
KINO.JK,PT Kino Indonesia Tbk
KIOS.JK,PT Kioson Komersial Indonesia Tbk
KJEN.JK,PT Krida Jaringan Nusantara Tbk
KKES.JK,PT Kusuma Kemindo Sentosa Tbk
KKGI.JK,PT Resource Alam Indonesia Tbk
KLAS.JK,PT Pelayaran Kurnia Lautan Semesta Tbk
KLBF.JK,PT Kalbe Farma Tbk.
KLIN.JK,PT Klinko Karya Imaji Tbk
KMDS.JK,"PT Kurniamitra Duta Sentosa, Tbk"
KMTR.JK,PT Kirana Megatara Tbk
KOBX.JK,PT Kobexindo Tractors Tbk
KOCI.JK,PT Kokoh Exa Nusantara Tbk
KOIN.JK,PT Kokoh Inti Arebama Tbk
KOKA.JK,PT Koka Indonesia Tbk
KONI.JK,PT Perdana Bangun Pusaka Tbk
KOPI.JK,PT Mitra Energi Persada Tbk
KOTA.JK,PT DMS Propertindo Tbk
KPIG.JK,PT MNC Tourism Indonesia Tbk
KRAS.JK,PT Krakatau Steel (Persero) Tbk
KREN.JK,PT Quantum Clovera Investama Tbk
KRYA.JK,PT Bangun Karya Perkasa Jaya Tbk
KSIX.JK,Kentanix Supra International Tb
KUAS.JK,PT Ace Oldfields Tbk
LABA.JK,PT Green Power Group Tbk
LABS.JK,UBC Medical Indonesia Tbk.
LAJU.JK,PT Jasa Berdikari Logistics Tbk
LAND.JK,PT Trimitra Propertindo Tbk
LAPD.JK,PT Leyand International Tbk
LCKM.JK,PT LCK Global Kedaton Tbk
LEAD.JK,PT Logindo Samudramakmur Tbk.
LFLO.JK,PT Imago Mulia Persada Tbk
LIFE.JK,PT MSIG Life Insurance Indonesia Tbk
LINK.JK,PT Link Net Tbk
LION.JK,PT Lion Metal Works Tbk
LIVE.JK,Homeco Victoria Makmur Tbk.
LMAX.JK,PT Lupromax Pelumas Indonesia Tbk
LMPI.JK,PT Langgeng Makmur Industri Tbk
LOPI.JK,PT Logisticsplus International Tbk
LPCK.JK,PT Lippo Cikarang Tbk
LPGI.JK,PT Lippo General Insurance Tbk
LPIN.JK,PT Multi Prima Sejahtera Tbk
LPKR.JK,PT Lippo Karawaci Tbk
LPLI.JK,PT Star Pacific Tbk
LPPF.JK,PT MDS Retailing Tbk
LPPS.JK,PT Lenox Pasifik Investama Tbk
LRNA.JK,PT Eka Sari Lorena Transport Tbk
LSIP.JK,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk
LTLS.JK,PT Lautan Luas Tbk
LUCK.JK,PT Sentral Mitra Informatika Tbk
LUCY.JK,PT Lima Dua Lima Tiga Tbk
MAHA.JK,PT Mandiri Herindo Adiperkasa Tbk
MAIN.JK,PT Malindo Feedmill Tbk
MANG.JK,Manggung Polahraya Tbk.
MAPA.JK,PT Map Aktif Adiperkasa Tbk
MAPB.JK,PT Map Boga Adiperkasa Tbk
MAPI.JK,PT. Mitra Adiperkasa Tbk
MARI.JK,PT Mahaka Radio Integra Tbk
MARK.JK,PT Mark Dynamics Indonesia Tbk
MASB.JK,PT Bank Multiarta Sentosa Tbk
MAXI.JK,PT Maxindo Karya Anugerah Tbk
MAYA.JK,PT Bank Mayapada Internasional Tbk
MBAP.JK,PT Mitrabara Adiperdana Tbk
MBMA.JK,PT Merdeka Battery Materials Tbk.
MBSS.JK,PT Mitrabahtera Segara Sejati Tbk
MBTO.JK,PT Martina Berto Tbk
MCAS.JK,PT M Cash Integrasi Tbk
MCOL.JK,PT Prima Andalan Mandiri Tbk
MCOR.JK,PT Bank China Construction Bank Indonesia Tbk
MDIA.JK,PT Intermedia Capital Tbk
MDIY.JK,Daya Intiguna Yasa Tbk.
MDKA.JK,PT Merdeka Copper Gold Tbk
MDKI.JK,PT Emdeki Utama Tbk
MDLA.JK,Medela Potentia Tbk.
MDLN.JK,PT Modernland Realty Tbk
MDRN.JK,PT Modern Internasional Tbk
MEDC.JK,PT Medco Energi Internasional Tbk
MEDS.JK,PT Hetzer Medical Indonesia Tbk
MEGA.JK,PT Bank Mega Tbk
MEJA.JK,Harta Djaya Karya Tbk.
MERI.JK,Merry Riana Edukasi Tbk.
MERK.JK,PT Merck Tbk
MGLV.JK,PT Panca Anugrah Wisesa Tbk
MGNA.JK,PT Magna Investama Mandiri Tbk
MGRO.JK,PT Mahkota Group Tbk
MHKI.JK,Multi Hanna Kreasindo Tbk.
MICE.JK,PT Multi Indocitra Tbk
MIDI.JK,PT Midi Utama Indonesia Tbk
MIKA.JK,PT Mitra Keluarga Karyasehat Tbk
MINA.JK,PT Sanurhasta Mitra Tbk
MINE.JK,Sinar Terang Mandiri Tbk.
MIRA.JK,PT Mitra International Resources Tbk
MITI.JK,PT Mitra Investindo Tbk
MKAP.JK,Multikarya Asia Pasifik Raya Tb
MKPI.JK,PT Metropolitan Kentjana Tbk
MKTR.JK,PT Menthobi Karyatama Raya Tbk
MLBI.JK,PT Multi Bintang Indonesia Tbk
MLIA.JK,PT Mulia Industrindo Tbk
MLPL.JK,PT Multipolar Tbk
MLPT.JK,PT Multipolar Technology Tbk
MMIX.JK,PT Multi Medika Internasional Tbk
MMLP.JK,PT Mega Manunggal Property Tbk
MNCN.JK,PT. Media Nusantara Citra Tbk
MOLI.JK,PT Madusari Murni Indah Tbk
MORA.JK,PT Mora Telematika Indonesia Tbk
MPIX.JK,Mitra Pedagang Indonesia Tbk.
